plant;scenario;sampling date;tiller;spike.name;stage;FLN.BM;ligule-difference(mm);dist ligule FL-FL-1 (mm);Dist spike heuight-ligule FL-1 (mm);Spike length (mm);obs;TS-stage
80;S7;26/03/2021;T2.2;80_T2.2;;7;55;xx;xx;2,298379108;stade TS pile;1
77;S2;31/03/2021;T4;77_T4;;8;75;xx;xx;22;T0 ?;
2blanc;S0b;08/03/2021;T2.1;2blanc_T2.1;2,5;;;;;1,539690859;;
80;S7;26/03/2021;T0.1;80_T0.1;;7;55;xx;xx;2,231436028;;
1bleu;S0a;12/03/2021;T1;1bleu_T1;4,8;8;;;;2,811609395;;
70;S6;15/03/2021;BM;70_BM;6,8;8;;;;2,993843337;;
5rouge;S0a;12/03/2021;T3;5rouge_T3;3,5;;;;;3,045910178;;
8bleu;S0b;12/03/2021;T0;8bleu_T0;;;;;;3,124010439;;
5rouge;S0a;12/03/2021;T1.1;5rouge_T1.1;3,2;;;;;3,2021107;;
1bleu;S0a;12/03/2021;T2;1bleu_T2;4,2;8;;;;3,436411482;;
3bleu;S0a;08/03/2021;T2;3bleu_T2;;;;;;3,436411482;;
3rouge;S0a;12/03/2021;T0;3rouge_T0;3,8;;;;;3,553561874;;
74;S4;26/03/2021;T2.2;74_T2.2;;7;55;;;3,748812526;;
7bleu;S0a;12/03/2021;T3;7bleu_T3;3,8;;;;;3,831794054;;
5rouge;S0a;12/03/2021;T0;5rouge_T0;4,2;;;;;3,905013048;;
81;S2;27/03/2021;T1.2;81_T1.2;;7;50;xx;xx;3,983113309;;
7bleu;S0a;12/03/2021;T0;7bleu_T0;4;;;;;4,002638374;;
3bleu;S0a;08/03/2021;T1;3bleu_T1;;;;;;4,002638374;;
81;S2;27/03/2021;T2.1;81_T2.1;;7;50;xx;xx;4,100263701;;
8rouge;S0b;08/03/2021;T1;8rouge_T1;4,2;;;;;4,100263701;;
73;S2;27/03/2021;T2.2;73_T2.2;;7;70;xx;xx;4,295514353;;
1bleu;S0a;12/03/2021;BM;1bleu_BM;7,2;8;;;;4,295514353;;
2blanc;S0b;08/03/2021;BM;2blanc_BM;6,5;;;;;4,393139679;;
4bleu;S0b;12/03/2021;T2;4bleu_T2;4,2;;;;;4,515171337;;
3rouge;S0a;12/03/2021;T3;3rouge_T3;3,5;;;;;4,588390332;;
81;S2;27/03/2021;T4;81_T4;;7;50;xx;xx;4,686015658;;
2bleu;S0b;12/03/2021;T2;2bleu_T2;4,2;;;;;4,686015658;;
