tiller,n,mean_delay_flowering,median_delay_flowering,sd,se
BM,19,0,0,0,0
T1,21,1.5238095238095237,2,1.0304876330673562,0.22487083720223994
T2,21,2.238095238095238,2,1.091089451179962,0.23809523809523814
T3,21,4.571428571428571,5,1.4342743312012727,0.3129843185743807
T0,16,4.9375,5,2.2351360883251234,0.5587840220812809
T1.1,16,5.8125,5.5,1.3275918047351754,0.33189795118379384
T2.1,17,6.294117647058823,6,1.403776419268438,0.34046579125853604
