plante;traitement;talle;spikelet.nb;flowering date
2;T0b;T3;15;05/04/2021
2;T0b;T3;16;05/04/2021
2;T0b;T3;17;05/04/2021
2;T0b;T3;18;05/04/2021
2;T0b;T3;19;05/04/2021
2;T0b;T3;20;05/04/2021
3;T0a;T1;18;03/04/2021
3;T0a;T1;19;03/04/2021
3;T0a;T1;20;03/04/2021
3;T0a;T1;21;03/04/2021
3;T0a;T1;22;03/04/2021
3;T0a;T2;2;10/04/2021
3;T0a;T2;3;05/04/2021
3;T0a;T2;4;05/04/2021
3;T0a;T2;5;04/04/2021
3;T0a;T2;6;03/04/2021
3;T0a;T2;7;03/04/2021
3;T0a;T2;8;03/04/2021
3;T0a;T2;9;03/04/2021
3;T0a;T2;10;02/04/2021
3;T0a;T2;11;02/04/2021
3;T0a;T2;12;02/04/2021
3;T0a;T2;13;02/04/2021
3;T0a;T2;14;02/04/2021
3;T0a;T2;15;02/04/2021
3;T0a;T2;16;02/04/2021
3;T0a;T2;17;06/04/2021
3;T0a;T2;18;02/04/2021
3;T0a;T2;19;02/04/2021
3;T0a;T2;20;03/04/2021
3;T0a;T2;21;03/04/2021
3;T0a;T2;22;03/04/2021
3;T0a;T3;2;08/04/2021
3;T0a;T3;3;07/04/2021
3;T0a;T3;4;07/04/2021
3;T0a;T3;5;05/04/2021
3;T0a;T3;6;05/04/2021
3;T0a;T3;7;05/04/2021
3;T0a;T3;8;04/04/2021
3;T0a;T3;9;04/04/2021
3;T0a;T3;10;04/04/2021
3;T0a;T3;11;04/04/2021
3;T0a;T3;12;03/04/2021
3;T0a;T3;13;03/04/2021
3;T0a;T3;14;03/04/2021
3;T0a;T3;15;03/04/2021
3;T0a;T3;16;03/04/2021
3;T0a;T3;17;03/04/2021
3;T0a;T3;18;03/04/2021
3;T0a;T3;19;03/04/2021
3;T0a;T3;20;04/04/2021
3;T0a;T3;21;04/04/2021
5;T0a;BM;1;02/04/2021
5;T0a;BM;2;02/04/2021
